127.0.0.1, 2013-05-17 00:16:59, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000489
127.0.0.1, 2013-05-17 00:17:00, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000554
127.0.0.1, 2013-05-17 00:17:00, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000658
127.0.0.1, 2013-05-17 00:17:00, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.001241
127.0.0.1, 2013-05-17 00:17:00, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000824
127.0.0.1, 2013-05-17 00:17:04, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.032481
127.0.0.1, 2013-05-17 00:17:40, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.025277
127.0.0.1, 2013-05-17 00:17:52, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.026872
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000524
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000554
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000852
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.001702
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000501
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.002158
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002972
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001716
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000518
127.0.0.1, 2013-05-17 00:17:53, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000361
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/default/site, HTTP/1.1, 303, 0.011675
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/default/index, HTTP/1.1, 200, 0.034681
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000599
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000455
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000461
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.002187
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.002077
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000981
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.001083
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002967
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.002616
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001632
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000768
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000926
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001381
127.0.0.1, 2013-05-17 00:18:09, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.002185
127.0.0.1, 2013-05-17 00:18:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000451
127.0.0.1, 2013-05-17 00:18:13, POST, /admin/default/index, HTTP/1.1, 303, 0.027551
127.0.0.1, 2013-05-17 00:18:13, GET, /admin/default/site, HTTP/1.1, 200, 0.036302
127.0.0.1, 2013-05-17 00:18:13, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.001574
127.0.0.1, 2013-05-17 00:18:13, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.000681
127.0.0.1, 2013-05-17 00:18:13, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000362
127.0.0.1, 2013-05-17 00:18:13, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000745
127.0.0.1, 2013-05-17 00:18:13, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.000639
127.0.0.1, 2013-05-17 00:18:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000456
127.0.0.1, 2013-05-17 00:18:14, POST, /admin/default/check_version, HTTP/1.1, 500, 1.361591
127.0.0.1, 2013-05-17 00:18:14, GET, /admin/default/twitter.load, HTTP/1.1, 200, 1.466498
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/default/index, HTTP/1.1, 200, 0.546558
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/js/jquery.js, HTTP/1.1, 200, 0.000917
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/css/skeleton.css, HTTP/1.1, 200, 0.000350
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/css/calendar.css, HTTP/1.1, 200, 0.000539
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/js/web2py.js, HTTP/1.1, 200, 0.001687
127.0.0.1, 2013-05-17 00:18:16, GET, /911_signin/static/css/superfish.css, HTTP/1.1, 200, 0.001142
